filename	xmlid	author-name	author-gender	title	subgenre	pub-year-ref	firstEdition	digitalSource	printSource
Schuler_Songes	Schuler_Songes	Schuler, Candace	F	Les songes de belle de lune	sentimental	1989	nan	1989	1989
Thurlo_Serment	Thurlo_Serment	Thurlo, Aimée	F	Le serment de Melanie	sentimental	1989	nan	1989	1989
Andreota_Pieuvre	Andreota_Pieuvre	Andreota, Paul	M	La pieuvre	policier	1989	nan	1989	1989
Trent_Jolie	Trent_Jolie	Trent, Brenda	F	Une si jolie petite plage	sentimental	1989	nan	1989	1989
Houssin_Argentine	Houssin_Argentine	Houssin, Joël	M	Argentine	scifi	1989	nan	1989	1989
Bourin_Peregrines	Bourin_Peregrines	Bourin, Jeanne	F	Les Pérégrines	blanche	1989	nan	1989	1989
LewisThompson_Emeraude	LewisThompson_Emeraude	Lewis Thompson, Vicki	F	L'émeraude talisman	sentimental	1989	nan	1989	1989
Krentz_Harmony	Krentz_Harmony	Krentz, Jayne Ann	F	Harmony Valley	sentimental	1989	nan	1989	1989
Burton_Windspear	Burton_Windspear	Burton, Katherine	F	Windspear, monde enchanté	sentimental	1989	nan	1989	1989
Anderson_Destination	Anderson_Destination	Anderson, Catherine	F	Destination secrète	sentimental	1989	nan	1989	1989
Marceau_Oiseau	Marceau_Oiseau	Marceau, Félicien	M	Un oiseau dans le ciel	blanche	1989	nan	1989	1989
Amelin_Jardins	Amelin_Jardins	Amelin, Michel	M	Les jardins du casino	policier	1989	nan	1989	1989
Pappano_Cache	Pappano_Cache	Pappano, Marylin	F	Où se cache Christopher Morgan?	policier	1989	nan	1989	1989
Win_Madison	Win_Madison	Win, David	M	Madison Avenue	sentimental	1989	nan	1989	1989
Andrevon_Produira	Andrevon_Produira	Andrevon, Jean-Pierre	M	Cela se porduira bientôt	scifi	1989	nan	1989	1989
Hawthorne_Carre	Hawthorne_Carre	Hawthorne, Alaina	F	Un carré de ciel bleu	sentimental	1990	nan	1990	1990
Krentz_Deesse	Krentz_Deesse	Krentz, Jayne Ann	F	La déesse des bords du lac	sentimental	1990	nan	1990	1990
Pozzessere_Amours	Pozzessere_Amours	Pozzessere, Heather Graham	F	Les amours d'Azur Beach	sentimental	1990	nan	1990	1990
Berthelot_Rivage	Berthelot_Rivage	Berthelot, Francis	M	Rivage des intouchables	scifi	1990	nan	1990	1990
Seger_Souvenir	Seger_Souvenir	Seger, Maura	F	Le souvenir de nous	sentimental	1990	nan	1990	1990
Woods_Pluie	Woods_Pluie	Woods, Sherryl	F	Pluie d'or	sentimental	1990	nan	1990	1990
Sommers_Professeur	Sommers_Professeur	Sommers, Beverly	F	Le professeur est amoureux	sentimental	1990	nan	1990	1990
Rafferty_Paradis	Rafferty_Paradis	Rafferty, Carin	F	Paradis pour une sirène	sentimental	1990	nan	1990	1990
Daeninckx_Facteur	Daeninckx_Facteur	Daeninckx, Didier	M	Le Facteur Fatal	policier	1990	1990	nan	NA
Sommers_Qui	Sommers_Qui	Sommers, Beverly	F	Qui a peur de Joyce Lenahan?	sentimental	1990	nan	1990	1990
Roth_Amour	Roth_Amour	Roth, Pamela	F	L'amour aux mille visages	sentimental	1990	nan	1990	1990
Ellis_Mais	Ellis_Mais	Ellis, Patricia	F	Mais qui est donc M. Chandler?	sentimental	1990	nan	1990	1990
Richards_Amour	Richards_Amour	Richards, Emilie	F	L'amour du pays oublié	sentimental	1990	nan	1990	1990
Houssin_Temps	Houssin_Temps	Houssin, Joël	M	Le temps du twist	scifi	1990	nan	1990	1990
Gray_Role	Gray_Role	Gray, Kerrie	F	Le rôle de ma vie	sentimental	1990	nan	1990	1990
Long_Aucun	Long_Aucun	Long, Manning	M	Aucun délai	policier	1990	nan	1990	1990
Rosemoor_Qui	Rosemoor_Qui	Rosemoor, Patricia	F	Qui a tué Kim Quillian?	policier	1990	nan	1990	1990
YoungK_Lien	YoungK_Lien	Young, Karen	F	Lien de coeur	sentimental	1990	nan	1990	1990
Pendleton_Jouez	Pendleton_Jouez	Pendleton, Grace	F	Jouez pour moi, Anna	sentimental	1990	nan	1990	1990
Bartlett_Allie	Bartlett_Allie	Bartlett, Kay	F	L'allié de l'ombre	sentimental	1990	nan	1990	1990
YoungB_Adieu	YoungB_Adieu	Young, Brittany	F	L'adieu à Kortina	sentimental	1990	nan	1990	1990
Kitt_Epervier	Kitt_Epervier	Kitt, Sandra	F	L'épervier au coeur tendre	sentimental	1990	nan	1990	1990
